Condition,ReadCode,CleansedReadCode,Term
Malignant neoplasms,^ESCTNE430994,,Neoplastic disease of uncertain behaviour
Malignant neoplasms,^ESCTNE475634,,Neoplasm of uncertain behaviour of submaxillary gland
Malignant neoplasms,^ESCTNE404827,,Neoplasm of uncertain behavior of palate
Malignant neoplasms,^ESCTNE404556,,Neoplasm of uncertain behavior of floor of mouth
Malignant neoplasms,^ESCTNE404823,,Neoplasm of uncertain behavior of oropharynx
Malignant neoplasms,^ESCTNE404791,,Neoplasm of uncertain behaviour of nasopharyngeal wall
Malignant neoplasms,^ESCTNE405165,,Neoplasm of uncertain behavior of tongue
Malignant neoplasms,^ESCTNE405113,,Neoplasm of uncertain behavior of sublingual gland
Malignant neoplasms,^ESCTNE404741,,Neoplasm of uncertain behavior of minor salivary gland
Malignant neoplasms,^ESCTNE404690,,Neoplasm of uncertain behavior of lip
Malignant neoplasms,^ESCTNE552346,,"Neoplasm of uncertain behavior of lip, oral cavity and/or pharynx"
Malignant neoplasms,^ESCTNE552345,,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx"
Malignant neoplasms,^ESCTNE475633,,Neoplasm of uncertain behavior of submandibular gland
Malignant neoplasms,B902,B902.00,"Neop of uncertain behaviour stomach, intestines and rectum"
Malignant neoplasms,B907z,B907z00,"Neop of uncertain behaviour of trachea, bronchus or lung NOS"
Malignant neoplasms,ByuH,ByuH.00,[X]Neoplasms of uncertain and unknown behaviour
Malignant neoplasms,B902z,B902z00,"Neop of uncertain behaviour stomach, intestine or rectum NOS"
Malignant neoplasms,B9011,B901100,Neoplasm of uncertain behaviour of tongue
Malignant neoplasms,B900,B900.00,Neoplasm of uncertain behaviour of major salivary glands
Malignant neoplasms,^ESCTNE404447,,Neoplasm of uncertain behavior of cheek
Malignant neoplasms,^ESCTNE404614,,Neoplasm of uncertain behavior of hypopharynx
Malignant neoplasms,B9002,B900200,Neoplasm of uncertain behaviour of submandibular gland
Malignant neoplasms,B9013,B901300,Neoplasm of uncertain behaviour of gums
Malignant neoplasms,B9000-1,B900011,Mixed parotid tumour
Malignant neoplasms,B9,B9...00,Neoplasms of uncertain behaviour
Malignant neoplasms,B9014,B901400,Neoplasm of uncertain behaviour of floor of mouth
Malignant neoplasms,B9010,B901000,Neoplasm of uncertain behaviour of lip
Malignant neoplasms,B9012,B901200,Neoplasm of uncertain behaviour of minor salivary gland
Malignant neoplasms,B9018,B901800,Neoplasm of uncertain behaviour of oropharynx
Malignant neoplasms,B9016,B901600,Neoplasm of uncertain behaviour of palate
Malignant neoplasms,B900z,B900z00,Neoplasm of uncertain behaviour of major salivary gland NOS
Malignant neoplasms,B9-99,B9...99,Other uncertain neoplasms
Malignant neoplasms,B9015,B901500,Neoplasm of uncertain behaviour of cheek
Malignant neoplasms,B9017,B901700,Neoplasm of uncertain behaviour of nasopharynx
Malignant neoplasms,B901-1,B901.11,Neoplasm of uncertain behaviour of oral cavity
Malignant neoplasms,ByuH7,ByuH700,"[X]Oth spcf neo/uncrt+unknwn behav/lymph,h'matopetic+rel tis"
Malignant neoplasms,ByuHA,ByuHA00,"[X]Neoplasm of uncertain and unknown behaviour, unspecified"
Malignant neoplasms,^ESCTNE404789,,Neoplasm of uncertain behavior of nasopharynx
Malignant neoplasms,^ESCTNE475631,,Neoplasm of uncertain behavior of major salivary gland
Malignant neoplasms,B9019,B901900,Neoplasm of uncertain behaviour of hypopharynx
Malignant neoplasms,B9001,B900100,Neoplasm of uncertain behaviour of sublingual gland
Malignant neoplasms,B901z,B901z00,"Neop of uncertain behaviour lip, oral cavity and pharynx NOS"
Malignant neoplasms,^ESCTNE535552,,Neoplasm of uncertain behavior of oral cavity
