Condition,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,E257100,E257100,"Nondependent amphetamine/psychostimulant abuse, continuous"
Drug or alcohol misuse,E257200,E257200,"Nondependent amphetamine or psychostimulant abuse, episodic"
Drug or alcohol misuse,E257300,E257300,Nondependent amphetamine/psychostimulant abuse in remission
Drug or alcohol misuse,E257z00,E257z00,Nondependent amphetamine or psychostimulant abuse NOS
Drug or alcohol misuse,E258.00,E258.00,Nondependent antidepressant type drug abuse
Drug or alcohol misuse,E258z00,E258z00,Nondependent antidepressant type drug abuse NOS
Drug or alcohol misuse,E259.00,E259.00,Nondependent mixed drug abuse
Drug or alcohol misuse,E259000,E259000,"Nondependent mixed drug abuse, unspecified"
Drug or alcohol misuse,E259100,E259100,"Nondependent mixed drug abuse, continuous"
Drug or alcohol misuse,E259200,E259200,"Nondependent mixed drug abuse, episodic"
Drug or alcohol misuse,E259300,E259300,Nondependent mixed drug abuse in remission
Drug or alcohol misuse,E259400,E259400,Misuse of prescription only drugs
Drug or alcohol misuse,E259z00,E259z00,Nondependent mixed drug abuse NOS
Drug or alcohol misuse,E25y.00,E25y.00,Nondependent other drug abuse
Drug or alcohol misuse,E25y.11,E25y.11,Analgesic abuse
Drug or alcohol misuse,E25y000,E25y000,"Nondependent other drug abuse, unspecified"
Drug or alcohol misuse,E25y100,E25y100,"Nondependent other drug abuse, continuous"
Drug or alcohol misuse,E25y200,E25y200,"Nondependent other drug abuse, episodic"
Drug or alcohol misuse,E25y300,E25y300,Nondependent other drug abuse in remission
Drug or alcohol misuse,E25yz00,E25yz00,Nondependent other drug abuse NOS
Drug or alcohol misuse,E25z.00,E25z.00,Misuse of drugs NOS
Drug or alcohol misuse,Eu1..00,Eu1..00,[X]Mental and behavioural disorders due to psychoactive subs
Drug or alcohol misuse,Eu11.00,Eu11.00,[X]Mental and behavioural disorders due to use of opioids
Drug or alcohol misuse,Eu11100,Eu11100,[X]Mental and behav dis due to use of opioids: harmful use
Drug or alcohol misuse,Eu11200,Eu11200,[X]Mental and behav dis due to use opioids: dependence syndr
Drug or alcohol misuse,Eu11211,Eu11211,[X]Drug addiction - opioids
Drug or alcohol misuse,Eu11212,Eu11212,[X]Heroin addiction
Drug or alcohol misuse,Eu11300,Eu11300,[X]Mental and behav dis due to use opioids: withdrawal state
Drug or alcohol misuse,Eu11311,Eu11311,"[X]Cold turkey, opiate withdrawal"
Drug or alcohol misuse,Eu11400,Eu11400,[X]Men & behav dis due opioid: withdrawl state with delirium
Drug or alcohol misuse,Eu11500,Eu11500,[X]Mental & behav dis due to use opioids: psychotic disorder
Drug or alcohol misuse,Eu11600,Eu11600,[X]Mental and behav dis due to use opioids: amnesic syndrome
Drug or alcohol misuse,Eu11700,Eu11700,[X]Men & beh dis due opioids: resid & late-onset psychot dis
Drug or alcohol misuse,Eu11y00,Eu11y00,[X]Men & behav dis due to use opioids: oth men & behav dis
Drug or alcohol misuse,Eu11z00,Eu11z00,[X]Ment & behav dis due use opioids: unsp ment & behav dis
Drug or alcohol misuse,Eu12.00,Eu12.00,[X]Mental and behavioural disorders due to use cannabinoids
Drug or alcohol misuse,Eu12100,Eu12100,[X]Mental and behav dis due to use cannabinoids: harmful use
Drug or alcohol misuse,Eu12200,Eu12200,[X]Mental and behav dis due to cannabinoids: dependence synd
Drug or alcohol misuse,Eu12211,Eu12211,[X]Drug addiction - cannabis
Drug or alcohol misuse,Eu12300,Eu12300,[X]Mental and behav dis due cannabinoids: withdrawal state
Drug or alcohol misuse,Eu12500,Eu12500,[X]Mental & behav dis due to cannabinoids: psychotic disordr
Drug or alcohol misuse,Eu12600,Eu12600,[X]Mental and behav dis due to use cannabinoids: amnesic syn
Drug or alcohol misuse,Eu12700,Eu12700,[X]Mnt/bh dis due cannabinds: resid & late-onset psychot dis
Drug or alcohol misuse,Eu12y00,Eu12y00,[X]Men/behav dis due to use cannabinoids: oth men/behav disd
Drug or alcohol misuse,Eu12z00,Eu12z00,[X]Ment/behav dis due use cannabinoids: unsp ment/behav disd
Drug or alcohol misuse,Eu13.00,Eu13.00,[X]Mental and behavioural dis due use sedatives/hypnotics
Drug or alcohol misuse,Eu13100,Eu13100,[X]Mental and behav dis due to use seds/hypntcs: harmful use
Drug or alcohol misuse,Eu13200,Eu13200,[X]Mental and behav dis due to seds/hypntcs: dependence synd
Drug or alcohol misuse,Eu13211,Eu13211,[X]Drug addiction- sedative / hypnotics
Drug or alcohol misuse,Eu13300,Eu13300,[X]Mental and behav dis due seds/hypntcs: withdrawal state
Drug or alcohol misuse,Eu13400,Eu13400,[X]Men & beh dis due seds/hypns: withdrwl state wth delirium
Drug or alcohol misuse,Eu13500,Eu13500,[X]Mental & behav dis due to seds/hypntcs: psychotic disordr
Drug or alcohol misuse,Eu14.00,Eu14.00,[X]Mental and behavioural disorders due to use of cocaine
Drug or alcohol misuse,Eu14100,Eu14100,[X]Mental and behav dis due to use of cocaine: harmful use
Drug or alcohol misuse,Eu14200,Eu14200,[X]Mental and behav dis due to use cocaine: dependence syndr
Drug or alcohol misuse,Eu14211,Eu14211,[X]Drug addiction - cocaine
Drug or alcohol misuse,Eu14300,Eu14300,[X]Mental and behav dis due to use cocaine: withdrawal state
Drug or alcohol misuse,Eu14500,Eu14500,[X]Mental & behav dis due to use cocaine: psychotic disorder
