Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Iron deficiency with and without anaemia,293864013,191128004,293864013,D001,D001.00,Iron deficiency anaemia due to dietary causes
Iron deficiency with and without anaemia,399195014,87522002,507616014,D0-1,D0...11,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,D0-2,D0...12,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,D00yz,D00yz00,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTAS392266,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,D00,D00..00,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTAS392271,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTIR392274,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTCH392267,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTSI392268,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTIR392270,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCT1190238,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCT1276169,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCT1198930,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,D00y,D00y.00,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,D00z,D00z.00,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,D00zz,D00zz00,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTID392269,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,D00z1,D00z100,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,Dyu00,Dyu0000,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTID392272,,Iron deficiency anemia
Iron deficiency with and without anaemia,399195014,87522002,507616014,^ESCTSI392273,,Iron deficiency anemia
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,D00y-1,D00y.11,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,^ESCTBR380320,,Kelly - Paterson syndrome
