Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",344818012,109989006,344818012,B630-1,B630.11,Kahler's disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",344819016,109989006,344819016,B630-2,B630.12,Myelomatosis
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289867014,188718006,289867014,B6300,B630000,"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",139571000006117,415112005,2534490012,B6301,B630100,Solitary myeloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",225051000006119,415112005,2534490012,B6302,B630200,Plasmacytoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",457317011,313427003,457317011,B6303,B630300,Lambda light chain myeloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",18484012,415112005,2537380010,B6304,B630400,Solitary plasmacytoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",201743012,95210003,201743012,B631,B631.00,Plasma cell leukaemia
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",683191000006119,415112005,2534490012,B936-1,B936.11,Myeloma - solitary
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",451430017,415112005,2534490012,B936-2,B936.12,Plasmacytoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",313271000006116,109989006,344820010,BBn0-1,BBn0.11,[M]Multiple myeloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",315471000006118,10639003,18480015,BBn2,BBn2.00,[M]Plasmacytoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",313001000006116,10639003,18480015,BBn2-1,BBn2.11,[M]Monostotic myeloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",316711000006113,10639003,18480015,BBn2-2,BBn2.12,[M]Solitary myeloma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",293377011,190817009,293377011,C333,C333.00,Macroglobulinaemia
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",293380012,190818004,293380012,C3330,C333000,Waldenstrom's macroglobulinaemia
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2168841000000118,190818004,2168841000000118,C3330-1,C333011,Waldenstrom macroglobulinaemia
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2659763011,109982002,2659763011,C3331,C333100,Alpha heavy chain disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2659693012,109984001,2659693012,C3332,C333200,Gamma heavy chain disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",114573012,68979007,114573012,C3333,C333300,Heavy chain disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",293384015,190817009,293377011,C333z,C333z00,Macroglobulinaemia NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2734791000000113,1091861000000100,2734791000000113,^ESCT1172015,,Cutaneous follicle centre lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11925921000006110,118600007,728741000006116,^ESCT1192592,,Malignant lymphoma NOS of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11925931000006112,118600007,728751000006119,^ESCT1192593,,Malignant lymphoma NOS of intrapelvic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11925941000006116,118600007,728761000006117,^ESCT1192594,,Malignant lymphoma NOS of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11925951000006118,118600007,728771000006112,^ESCT1192595,,Malignant lymphoma NOS of lymph node inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11925961000006116,118600007,728781000006110,^ESCT1192596,,Malignant lymphoma NOS of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11925971000006112,118600007,728791000006113,^ESCT1192597,,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11925981000006114,118600007,728801000006114,^ESCT1192598,,Malignant lymphoma NOS of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",11926001000006112,118600007,729261000006115,^ESCT1192600,,Malignant lymphoma NOS of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",4309411000006119,118601006,2839871014,^ESCTNO430941,,Non-Hodgkin lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",6853321000006116,414166008,2871697012,^ESCTTN685332,,T/NK-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289580016,188487008,289580016,B60,B60..00,Lymphosarcoma and reticulosarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1211679013,373168002,1211679013,B600,B600.00,Reticulosarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289581017,373168002,1211679013,B6000,B600000,Reticulosarcoma of unspecified site
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289582012,188489006,289582012,B6001,B600100,"Reticulosarcoma of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",157745018,95224004,157745018,B6003,B600300,Reticulosarcoma of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",157752016,95231000,157752016,B6007,B600700,Reticulosarcoma of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289590012,373168002,1211679013,B600z,B600z00,Reticulosarcoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289591011,188498009,289591011,B601,B601.00,Lymphosarcoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289592016,188498009,289591011,B6010,B601000,Lymphosarcoma of unspecified site
