Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Disorders of gallbladder, biliary tract and pancreas",3362741000006116,53206008,496584013,^ESCTPE336274,,Perforation of biliary tree with fistula formation
"Disorders of gallbladder, biliary tract and pancreas",65705013,39170005,65705013,J6552,J655200,Cholecystoduodenal fistula
"Disorders of gallbladder, biliary tract and pancreas",3362731000006114,53206008,496583019,^ESCTBI336273,,Biliary tract fistula
"Disorders of gallbladder, biliary tract and pancreas",62377013,37389005,62377013,J6422,J642200,Biliary colic
"Disorders of gallbladder, biliary tract and pancreas",88487013,53206008,88487013,J6550,J655000,Biliary fistula
"Disorders of gallbladder, biliary tract and pancreas",110228013,66367009,110228013,J6640,J664000,Choledochoduodenal fistula
"Disorders of gallbladder, biliary tract and pancreas",486708013,37389005,486708013,1965-1,1965.11,Biliary colic symptom
"Disorders of gallbladder, biliary tract and pancreas",303622014,53206008,88485017,J664z,J664z00,Fistula of bile duct NOS
"Disorders of gallbladder, biliary tract and pancreas",303629017,118926004,2469904017,J66z,J66z.00,Bile duct disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",88485017,53206008,88485017,J664,J664.00,Fistula of bile duct
"Disorders of gallbladder, biliary tract and pancreas",511901000006117,37389005,62377013,1965,1965.00,Biliary colic
"Disorders of gallbladder, biliary tract and pancreas",301635012,58554001,97303014,H5013,H501300,Lung empyema NOS
"Disorders of gallbladder, biliary tract and pancreas",3451091000006115,58554001,2478766019,^ESCTSU345109,,Suppurative pleurisy
"Disorders of gallbladder, biliary tract and pancreas",3451101000006114,58554001,3452507015,^ESCTEM345110,,Empyema thoracis
"Disorders of gallbladder, biliary tract and pancreas",303579011,197410004,303579011,J6501,J650100,Acute angiocholecystitis
"Disorders of gallbladder, biliary tract and pancreas",53540011,32038009,53540011,J650-1,J650.11,Abscess of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",121449018,73125001,121449018,J650-2,J650.12,Empyema of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",456436010,312682007,456436010,H50,H50..00,Empyema
"Disorders of gallbladder, biliary tract and pancreas",1231843013,58554001,1231843013,H5014,H501400,Purulent pleurisy
"Disorders of gallbladder, biliary tract and pancreas",1231844019,58554001,1231844019,H5016,H501600,Pyothorax
"Disorders of gallbladder, biliary tract and pancreas",640711000006112,312682007,456436010,H50z,H50z.00,Empyema NOS
"Disorders of gallbladder, biliary tract and pancreas",218821000006118,58554001,97303014,H5012,H501200,Pleural empyema
"Disorders of gallbladder, biliary tract and pancreas",35027015,20824003,35027015,J6510,J651000,Chronic cholecystitis
"Disorders of gallbladder, biliary tract and pancreas",64412010,38712009,64412010,J6521,J652100,Stenosis of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303585016,197416005,303585016,J6520,J652000,Occlusion of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",125774011,75726005,125774011,J652,J652.00,Obstruction of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",130741016,78793006,130741016,J653,J653.00,Mucocele of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",78881010,47312008,78881010,J653-1,J653.11,Hydrops of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303596012,25345001,42493014,J654z,J654z00,Perforation of gallbladder NOS
"Disorders of gallbladder, biliary tract and pancreas",2863131000006110,22788004,1222970011,^ESCTDI286313,,Disruption of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",42493014,25345001,42493014,J654,J654.00,Perforation of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303593016,197422001,303593016,J6541,J654100,Rupture of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",38252011,22788004,38252011,J6540,J654000,Rupture of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",3500181000006113,61565001,3028135015,^ESCTGA350018,,Gallbladder cholesterolosis
"Disorders of gallbladder, biliary tract and pancreas",102281017,61565001,102281017,J656,J656.00,Cholesterolosis of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",102282012,61565001,102282012,J656-1,J656.11,Strawberry gallbladder
"Disorders of gallbladder, biliary tract and pancreas",1222485011,9748009,17050018,R013-1,R013.11,[D]Dyskinesia
"Disorders of gallbladder, biliary tract and pancreas",2714181000006111,13516000,23080013,^ESCTAD271418,,Adhesion of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",32531013,19286001,32531013,J65y4,J65y400,Cyst of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",108064010,65018008,108064010,J65y9,J65y900,Ulcer of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",99026017,59612001,99026017,J65y8,J65y800,Ulcer of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",107462017,64664008,107462017,J65y2,J65y200,Atrophy of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",112901019,67968004,112901019,J65y7,J65y700,Hypertrophy of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",145153011,87551003,145153011,J65y5,J65y500,Cyst of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",303605012,197432008,303605012,J65yB,J65yB00,Biliary dyskinesia
"Disorders of gallbladder, biliary tract and pancreas",1220974011,13516000,1220974011,J65y0,J65y000,Adhesions of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",303606013,197433003,303606013,J65yC,J65yC00,Polyp of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",123625018,74434009,123625018,J65y3,J65y300,Atrophy of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",127630018,76875008,127630018,J65y6,J65y600,Hypertrophy of gallbladder
"Disorders of gallbladder, biliary tract and pancreas",6297911000006119,367467003,492224013,^ESCTAB629791,,Absent gallbladder function
"Disorders of gallbladder, biliary tract and pancreas",6297921000006110,367467003,492223019,^ESCTNO629792,,Non-functioning gallbladder
"Disorders of gallbladder, biliary tract and pancreas",1222956011,22711000,1222956011,J65y1,J65y100,Adhesions of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",585531000006117,367467003,492223019,J65yA,J65yA00,Nonfunctioning gallbladder
"Disorders of gallbladder, biliary tract and pancreas",2861761000006118,22711000,38122013,^ESCTAD286176,,Adhesion of cystic duct
"Disorders of gallbladder, biliary tract and pancreas",303475019,27916005,46731011,J620z,J620z00,Liver abscess NOS
"Disorders of gallbladder, biliary tract and pancreas",303617014,235917005,353654013,J6619,J661900,Sclerosing cholangitis unspecified
"Disorders of gallbladder, biliary tract and pancreas",303468015,27916005,46731011,J620,J620.00,Liver abscess - excluding amoebic liver abscess
"Disorders of gallbladder, biliary tract and pancreas",4787861000006113,197441003,303615018,^ESCTPS478786,,PSC - Primary sclerosing cholangitis
"Disorders of gallbladder, biliary tract and pancreas",3010811000006111,31712002,3322805017,^ESCTPR301081,,Primary biliary cholangitis
"Disorders of gallbladder, biliary tract and pancreas",377821000006117,105997008,1219188019,Jyu86,Jyu8600,[X]Disorders of gallbladder+biliary tract in diseases CE
"Disorders of gallbladder, biliary tract and pancreas",3010831000006117,31712002,196875018,^ESCTHA301083,,Hanot's cirrhosis
"Disorders of gallbladder, biliary tract and pancreas",4125941000006111,105997008,202178019,^ESCTDI412594,,Disease of biliary system
"Disorders of gallbladder, biliary tract and pancreas",2948081000006117,27916005,46734015,^ESCTHE294808,,Hepatic abscess
"Disorders of gallbladder, biliary tract and pancreas",303628013,105997008,202178019,J66yz,J66yz00,Other bile duct disorder NOS
"Disorders of gallbladder, biliary tract and pancreas",303609018,105997008,1219188019,J66,J66..00,Other biliary tract disorders
"Disorders of gallbladder, biliary tract and pancreas",11316014,6215006,11316014,J6610,J661000,Acute cholangitis
"Disorders of gallbladder, biliary tract and pancreas",303611010,197438007,303611010,J6615,J661500,Cholangitis lenta
"Disorders of gallbladder, biliary tract and pancreas",1650161000000119,750511000000101,1650161000000119,J666,J666.00,Biliary sepsis
"Disorders of gallbladder, biliary tract and pancreas",303792012,105997008,1219188019,Jyu83,Jyu8300,[X]Other specified diseases of biliary tract
"Disorders of gallbladder, biliary tract and pancreas",303614019,197441003,303614019,J6617,J661700,Primary sclerosing cholangitis
"Disorders of gallbladder, biliary tract and pancreas",303616017,197442005,303616017,J6618,J661800,Secondary sclerosing cholangitis
"Disorders of gallbladder, biliary tract and pancreas",45033010,26918003,45033010,J6614,J661400,Ascending cholangitis
"Disorders of gallbladder, biliary tract and pancreas",116009017,69850007,116009017,J6613,J661300,Suppurative cholangitis
"Disorders of gallbladder, biliary tract and pancreas",52980015,31712002,52980015,J6160,J616000,Primary biliary cirrhosis
"Disorders of gallbladder, biliary tract and pancreas",303626012,59848001,99418019,J66y6,J66y600,Obstructive jaundice NOS
"Disorders of gallbladder, biliary tract and pancreas",3472071000006110,59848001,99417012,^ESCTOB347207,,Obstructive hyperbilirubinemia
"Disorders of gallbladder, biliary tract and pancreas",3472061000006115,59848001,498562015,^ESCTOB347206,,Obstructive hyperbilirubinaemia
"Disorders of gallbladder, biliary tract and pancreas",303620018,197446008,303620018,J6620,J662000,Occlusion of bile duct
"Disorders of gallbladder, biliary tract and pancreas",354486019,236482006,354486019,K08yF-1,K08yF11,Renal tubule insufficiency with biliary malformation
"Disorders of gallbladder, biliary tract and pancreas",1847891000006118,236482006,354487011,K08yF,K08yF00,Inherited renal tubule insuffic with cholestatic jaundice
"Disorders of gallbladder, biliary tract and pancreas",73035014,43797002,73035014,J6621,J662100,Stricture of bile duct
"Disorders of gallbladder, biliary tract and pancreas",62444010,37439003,62444010,J663,J663.00,Perforation of bile duct
"Disorders of gallbladder, biliary tract and pancreas",47097012,28132005,47097012,J665,J665.00,Spasm of sphincter of Oddi
"Disorders of gallbladder, biliary tract and pancreas",16603016,9484001,16603016,J66y2,J66y200,Cyst of bile duct
"Disorders of gallbladder, biliary tract and pancreas",7128071000006116,430887001,2772230019,^ESCTDY712807,,Dysfunction of sphincter of Oddi
"Disorders of gallbladder, biliary tract and pancreas",216241000006110,197453004,303627015,J66y7,J66y700,Post cholecystectomy bile leakage
"Disorders of gallbladder, biliary tract and pancreas",3944010,1698001,3944010,J66y5,J66y500,Ulcer of bile duct
"Disorders of gallbladder, biliary tract and pancreas",86341012,51854002,86341012,J66y1,J66y100,Atrophy of bile duct
"Disorders of gallbladder, biliary tract and pancreas",1234190013,77972001,1234190013,J66y0,J66y000,Adhesions of bile duct
"Disorders of gallbladder, biliary tract and pancreas",44968018,26874005,44968018,J66y3,J66y300,Hypertrophy of bile duct
"Disorders of gallbladder, biliary tract and pancreas",3768531000006115,77972001,129409012,^ESCTAD376853,,Adhesion of bile duct
"Disorders of gallbladder, biliary tract and pancreas",303796010,3855007,7494016,Jyu87,Jyu8700,[X]Disorders of pancreas in diseases classified elsewhere
"Disorders of gallbladder, biliary tract and pancreas",303632019,197456007,303630010,J6700,J670000,Acute pancreatitis unspecified
"Disorders of gallbladder, biliary tract and pancreas",1816471000006112,197456007,303630010,J670y,J670y00,Other acute pancreatitis
