Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2168691000000110,109965004,2168691000000110,B62F200,B62F200,Lymphoblastic (diffuse) lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289820010,118600007,177019017,B62x.00,B62x.00,Malignant lymphoma otherwise specified
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",344657018,109975001,344657018,B62x000,B62x000,T-zone lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",344670010,109976000,344670010,B62x100,B62x100,Lymphoepithelioid lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2659756011,109977009,2659756011,B62x200,B62x200,Peripheral T-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",445587010,118612006,445587010,B62x400,B62x400,Malignant reticulosis
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289826016,188691005,289826016,B62x500,B62x500,Malignant immunoproliferative small intestinal disease
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",39671000006114,277613000,414240018,B62xX00,B62xX00,Oth and unspecif peripheral & cutaneous T-cell lymphomas
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",728721000006111,118600007,2663474012,B62y.00,B62y.00,Malignant lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289830018,118600007,2663474012,B62y000,B62y000,Malignant lymphoma NOS of unspecified site
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289831019,93195001,154205016,B62y100,B62y100,"Malignant lymphoma NOS of lymph nodes of head, face and neck"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289832014,93193008,154200014,B62y200,B62y200,Malignant lymphoma NOS of intrathoracic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289842011,93191005,154196016,B62y300,B62y300,Malignant lymphoma NOS of intra-abdominal lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",728781000006110,93194002,154202018,B62y400,B62y400,Malignant lymphoma NOS of lymph nodes of axilla and arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",728771000006112,93196000,154208019,B62y500,B62y500,Malignant lymphoma NOS of lymph node inguinal region and leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289845013,93192003,154198015,B62y600,B62y600,Malignant lymphoma NOS of intrapelvic lymph nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289846014,93198004,154213015,B62y700,B62y700,Malignant lymphoma NOS of spleen
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289847017,93197009,154211018,B62y800,B62y800,Malignant lymphoma NOS of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289829011,118600007,2663474012,B62yz00,B62yz00,Malignant lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291887011,414628006,2535396014,BBg..00,BBg..00,"[M]Lymphomas, NOS or diffuse"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311671000006118,21964009,36846011,BBg1.00,BBg1.00,[M]Malignant lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311431000006119,21964009,36846011,BBg1.11,BBg1.11,[M]Lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291891018,115244002,202936014,BBg1000,BBg1000,"[M]Malignant lymphoma, diffuse NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311871000006119,1929004,1222276014,BBg2.00,BBg2.00,"[M]Malignant lymphoma, non Hodgkin's type"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",314061000006117,1929004,1222274012,BBg2.11,BBg2.11,[M]Non Hodgkins lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291892013,115244002,202936014,BBg3.00,BBg3.00,"[M]Malignant lymphoma, undifferentiated cell type NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311911000006116,189962004,291893015,BBg4.00,BBg4.00,"[M]Malignant lymphoma, stem cell type"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291894014,115244002,202936014,BBg5.00,BBg5.00,"[M]Malignant lymphoma, convoluted cell type NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",311521000006118,115244002,202936014,BBg6.00,BBg6.00,[M]Lymphosarcoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1222289015,19340000,1222289015,BBg7.00,BBg7.00,"[M]Malignant lymphoma, lymphoplasmacytoid type"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1234197011,450958009,2920534017,BBg8.00,BBg8.00,"[M]Malignant lymphoma, immunoblastic type"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291900014,115244002,202936014,BBgA.00,BBgA.00,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291902018,115244002,202936014,BBgB.00,BBgB.00,"[M]Malignant lymphoma, follicular centre cell NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",291903011,115244002,202936014,BBgC.00,BBgC.00,"[M]Malignant lymphoma, lymphocytic, well differentiated NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1222219012,115244002,202936014,BBgC.11,BBgC.11,[M]Lymphocytic lymphoma NOS
