Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,634751000006116,164861001,1205556017,322,322..00,ECG: myocardial ischaemia
Ischaemic heart diseases,1489353017,395698004,1489353017,8F92,8F92.00,Cardiac rehabilitation - phase 3
Ischaemic heart diseases,1489351015,395696000,1489351015,8F90,8F90.00,Cardiac rehabilitation - phase 1
Ischaemic heart diseases,299782012,194842008,299782012,G3400,G340000,Single coronary vessel disease
Ischaemic heart diseases,1564021000000118,698376008,2974077015,8LF,8LF..00,Coronary angiography planned
Ischaemic heart diseases,595731000006114,443502000,2842265012,G340,G340.00,Coronary atherosclerosis
Ischaemic heart diseases,271097012,175029007,271097012,7923-1,7923.11,Prosthetic bypass of coronary artery
Ischaemic heart diseases,271094017,736970002,3525977014,79223,7922300,Allograft replacement of four or more coronary arteries
Ischaemic heart diseases,1484833014,390799004,1484833014,6A4,6A4..00,Coronary heart disease review
Ischaemic heart diseases,635021000006110,24607002,41258019,32B,32B..00,ECG: Q wave
Ischaemic heart diseases,350346019,233817007,350346019,G340-1,G340.11,Triple vessel disease of the heart
Ischaemic heart diseases,272295013,175882004,272295013,7A6G1,7A6G100,Peroperative angioplasty
Ischaemic heart diseases,299812011,194858006,299812011,G351,G351.00,Subsequent myocardial infarction of inferior wall
Ischaemic heart diseases,498328016,59021001,498328016,G3112,G311200,Angina at rest
Ischaemic heart diseases,411159010,275215001,411159010,79253-1,7925311,LIMA single anastomosis
Ischaemic heart diseases,238621000006112,309449009,452880015,7A4B8,7A4B800,Percut translum thrombolysis femoral graft streptokinase
Ischaemic heart diseases,271074014,736969003,3525975018,79201,7920100,Saphenous vein graft replacement of two coronary arteries
Ischaemic heart diseases,238651000006115,175071008,271150014,79291,7929100,Percut transluminal coronary thrombolysis with streptokinase
Ischaemic heart diseases,2619484018,194821006,2619484018,G3110-1,G311011,MI - Myocardial infarction aborted
Ischaemic heart diseases,585631000000113,699245006,3082941013,8H2V,8H2V.00,Admit ischaemic heart disease emergency
