Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,CleansedReadCode,Term
"Disease of arteries, arterioles and capilleries",300961015.0,67362008,111949011.0,Gyu72,Gyu7200,"[X]Aortic aneurysm of unspecified site, nonruptured"
"Disease of arteries, arterioles and capilleries",300968014.0,67362008,111949011.0,Gyu78,Gyu7800,[X]Aneurysm of aorta in diseases classified elsewhere
Other forms of heart disease,635591000006118.0,164901004,256490016.0,3293,3293.00,ECG:complete sinu-atrial block
Other forms of heart disease,634991000006112.0,164903001,256492012.0,3295,3295.00,ECG: partial A-V block - 2:1
Other forms of heart disease,635001000006117.0,164904007,256493019.0,3296,3296.00,ECG: partial A-V block - 3:1
Other forms of heart disease,256494013.0,164905008,256494013.0,3297,3297.00,ECG: Wenckebach phenomenon
Other forms of heart disease,1765921000006112.0,164905008,1739491000000118.0,3297-1,3297.11,Electrocardiogram: Mobitz type 1 second degree AV block
Other forms of heart disease,634591000006119.0,164906009,256495014.0,3298,3298.00,ECG: complete A-V block
Other forms of heart disease,256496010.0,164907000,256496010.0,3299,3299.00,ECG: right bundle branch block
Other forms of heart disease,256500012.0,164909002,256500012.0,329A,329A.00,ECG: left bundle branch block
Other forms of heart disease,1738951000006119.0,445309007,2871902010.0,329B,329B.00,ECG: trifascicular block
Other forms of heart disease,1765931000006110.0,426183003,1689181000000114.0,329H,329H.00,Electrocardiogram: Mobitz type 2 second degree AV block
Other forms of heart disease,46670010.0,27885002,46670010.0,G560,G560.00,Complete atrioventricular block
Other forms of heart disease,46671014.0,27885002,46671014.0,G560-1,G560.11,Third degree atrioventricular block
Other forms of heart disease,47191011.0,28189009,47191011.0,G5612,G561200,Mobitz type II atrioventricular block
Other forms of heart disease,699951000006113.0,54016002,1231274018.0,G5613,G561300,Mobitz type I (Wenckebach) atrioventricular block
Other forms of heart disease,1231273012.0,54016002,1231273012.0,G5613-1,G561311,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,300073018.0,195042002,300073018.0,G5614,G561400,Second degree atrioventricular block
Other forms of heart disease,105498014.0,63467002,105498014.0,G562-1,G562.11,Left bundle branch block
Other forms of heart disease,300079019.0,195046004,300079019.0,G563,G563.00,Left main stem bundle branch block
Other forms of heart disease,98239015.0,59118001,98239015.0,G564,G564.00,Right bundle branch block
Other forms of heart disease,300080016.0,6374002,11568018.0,G565,G565.00,Other bundle branch block
Other forms of heart disease,300081017.0,6374002,11568018.0,G5650,G565000,Bundle branch block unspecified
Other forms of heart disease,300084013.0,20143001,33890011.0,G5653,G565300,Other bilateral bundle branch block
Other forms of heart disease,142607010.0,86014007,142607010.0,G5654,G565400,Trifascicular block
Other forms of heart disease,300086010.0,6374002,11568018.0,G565z,G565z00,Other bundle branch block NOS
Cerebrovascular disease,345718011.0,230736007,345718011.0,1B1S,1B1S.00,Transient global amnesia
Cerebrovascular disease,413750011.0,277286006,413750011.0,1M4,1M4..00,Central post-stroke pain
Cerebrovascular disease,371641000000112.0,231231000000107,371641000000112.0,7P242,7P24200,Delivery of rehabilitation for stroke
Cerebrovascular disease,966981000006112.0,112901000000108,199461000000113.0,8HHM,8HHM.00,Ref to multidisciplinary stroke function improvement service
Cerebrovascular disease,1784651000006110.0,781731000000103,1747751000000110.0,8IEC,8IEC.00,Ref multidisciplinary stroke function improvement declined
Cerebrovascular disease,139081000000117.0,716581000000101,1569131000000118.0,9h21,9h21.00,Excepted from stroke quality indicators: Patient unsuitable
Cerebrovascular disease,139091000000115.0,716021000000109,1568581000000116.0,9h22,9h22.00,Excepted from stroke quality indicators: Informed dissent
Cerebrovascular disease,145925010.0,88032003,145925010.0,F4236,F423600,Amaurosis fugax
Cerebrovascular disease,299342019.0,230698000,345651012.0,Fyu56,Fyu5600,[X]Other lacunar syndromes
Cerebrovascular disease,345639010.0,230692004,345639010.0,G63-1,G63..11,Infarction - precerebral
Cerebrovascular disease,300312010.0,195185009,300312010.0,G63y0,G63y000,Cerebral infarct due to thrombosis of precerebral arteries
Cerebrovascular disease,300313017.0,195186005,300313017.0,G63y1,G63y100,Cerebral infarction due to embolism of precerebral arteries
Cerebrovascular disease,1222398015.0,20059004,1222398015.0,G64,G64..00,Cerebral arterial occlusion
Cerebrovascular disease,605461000006117.0,230691006,345638019.0,G64-1,G64..11,CVA - cerebral artery occlusion
Cerebrovascular disease,218511000000117.0,432504007,2770034014.0,G64-2,G64..12,Infarction - cerebral
Cerebrovascular disease,122361000006113.0,230691006,345638019.0,G64-3,G64..13,Stroke due to cerebral arterial occlusion
Cerebrovascular disease,118689010.0,71444005,118689010.0,G640,G640.00,Cerebral thrombosis
Cerebrovascular disease,300321011.0,195189003,300321011.0,G6400,G640000,Cerebral infarction due to thrombosis of cerebral arteries
Cerebrovascular disease,125470015.0,75543006,125470015.0,G641,G641.00,Cerebral embolism
Cerebrovascular disease,542831000006116.0,75543006,125470015.0,G641-1,G641.11,Cerebral embolus
Cerebrovascular disease,300322016.0,195190007,300322016.0,G6410,G641000,Cerebral infarction due to embolism of cerebral arteries
Cerebrovascular disease,395780010.0,432504007,2770034014.0,G64z,G64z.00,Cerebral infarction NOS
Cerebrovascular disease,345650013.0,95457000,158113017.0,G64z-1,G64z.11,Brainstem infarction NOS
Cerebrovascular disease,158118014.0,95460007,158118014.0,G64z-2,G64z.12,Cerebellar infarction
Cerebrovascular disease,524541000006117.0,95457000,158113017.0,G64z0,G64z000,Brainstem infarction
Cerebrovascular disease,57341000006119.0,78569004,130374019.0,G64z1,G64z100,Wallenberg syndrome
Cerebrovascular disease,130375018.0,78569004,130375018.0,G64z1-1,G64z111,Lateral medullary syndrome
Cerebrovascular disease,451133011.0,307766002,451133011.0,G64z2,G64z200,Left sided cerebral infarction
Cerebrovascular disease,451134017.0,307767006,451134017.0,G64z3,G64z300,Right sided cerebral infarction
Cerebrovascular disease,2474651019.0,413102000,2474651019.0,G64z4,G64z400,Infarction of basal ganglia
Cerebrovascular disease,395788015.0,266257000,395788015.0,G65,G65..00,Transient cerebral ischaemia
Cerebrovascular disease,67511000006117.0,64009001,106394016.0,G65-3,G65..13,Vertebro-basilar insufficiency
Cerebrovascular disease,499739014.0,64009001,499739014.0,G650-1,G650.11,Insufficiency - basilar artery
Cerebrovascular disease,95961000006119.0,230736007,345718011.0,G655,G655.00,Transient global amnesia
Cerebrovascular disease,106394016.0,64009001,106394016.0,G656,G656.00,Vertebrobasilar insufficiency
Cerebrovascular disease,300348012.0,266257000,395788015.0,G65y,G65y.00,Other transient cerebral ischaemia
Cerebrovascular disease,95931000006111.0,266257000,395788015.0,G65z,G65z.00,Transient cerebral ischaemia NOS
Cerebrovascular disease,300353019.0,195206000,300353019.0,G65z1,G65z100,Intermittent cerebral ischaemia
Cerebrovascular disease,300349016.0,266257000,395788015.0,G65zz,G65zz00,Transient cerebral ischaemia NOS
Cerebrovascular disease,405339016.0,230690007,345637012.0,G66,G66..00,Stroke and cerebrovascular accident unspecified
Cerebrovascular disease,605501000006117.0,230690007,345637012.0,G66-1,G66..11,CVA unspecified
Cerebrovascular disease,122401000006115.0,230690007,345637012.0,G66-2,G66..12,Stroke unspecified
Cerebrovascular disease,605491000006113.0,230690007,345635016.0,G66-3,G66..13,CVA - Cerebrovascular accident unspecified
Cerebrovascular disease,524511000006116.0,195212005,300365015.0,G663,G663.00,Brain stem stroke syndrome
Cerebrovascular disease,300366019.0,195213000,300366019.0,G664,G664.00,Cerebellar stroke syndrome
Cerebrovascular disease,345655015.0,230699008,345655015.0,G665,G665.00,Pure motor lacunar syndrome
Cerebrovascular disease,345658018.0,230700009,345658018.0,G666,G666.00,Pure sensory lacunar syndrome
Cerebrovascular disease,300370010.0,195216008,300370010.0,G667,G667.00,Left sided CVA
Cerebrovascular disease,300371014.0,195217004,300371014.0,G668,G668.00,Right sided CVA
Cerebrovascular disease,300411016.0,195243003,300411016.0,G683,G683.00,Sequelae of cerebral infarction
Cerebrovascular disease,149571000006118.0,195239002,300403014.0,G68X,G68X.00,"Sequelae of stroke,not specfd as h'morrhage or infarction"
Cerebrovascular disease,542261000006114.0,125081000119106,3042974014.0,G6W,G6W..00,Cereb infarct due unsp occlus/stenos precerebr arteries
