,Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,Term,CleansedReadCode
79,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,^ESCTBY427150,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
80,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A16,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
81,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A332,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
82,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A41y,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
83,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A41z,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
84,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A330,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
85,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A331,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
86,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A16y,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
87,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A16z,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
88,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A143,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
89,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A40A,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
90,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A151,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
91,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A40z,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
92,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A522,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
93,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A523,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
94,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47z,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
95,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A160,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
96,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47C,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
97,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47-4,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
98,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47-3,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
99,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47-2,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
100,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47-5,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
101,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47-1,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
102,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A142,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
103,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A140,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
104,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A409,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
105,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A40D,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
106,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A40B,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
107,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A40C,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
108,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A141,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
109,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A163,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
110,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A162,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
111,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A161,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
112,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A419,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
113,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A41A,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
114,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A41D,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
115,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A41B,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
