Condition,MedCode,Term
Other forms of heart disease,3985461000006113,Pulmonic valve insufficiency
Other forms of heart disease,3985531000006119,PVR - Pulmonary regurgitation
Other forms of heart disease,300001015,"Pulmonary incompetence, non-rheumatic"
Other forms of heart disease,300002010,"Pulmonary regurgitation, non-rheumatic"
Other forms of heart disease,884321000006113,Non-rheum. pulmonary regurg.
Other forms of heart disease,3985471000006119,Pulmonary valve insufficiency
Other forms of heart disease,300009018,"Pulmonary incompetence, cause unspecified"
Other forms of heart disease,3985511000006112,Pulmonic valve incompetence
Other forms of heart disease,300003017,"Pulmonary insufficiency, non-rheumatic"
Other forms of heart disease,3985521000006116,PR - Pulmonary regurgitation
Other forms of heart disease,300011010,Pulmonary valve stenosis with insufficiency
Other forms of heart disease,4557701000006114,On examination - pulmonary systolic murmur
Other forms of heart disease,254159012,O/E -pulmonary systolic murmur
Other forms of heart disease,309408013,Systemic lupus erythematosus NOS
Other forms of heart disease,312579010,[X]Other forms of systemic lupus erythematosus
Other forms of heart disease,114251000006118,Systemic lupus erythematosus with organ or sys involv
Other forms of heart disease,3377101000006113,Nonbacterial verrucous endocarditis
Other forms of heart disease,3377061000006110,Nonbacterial verrucal endocardiosis
Other forms of heart disease,3377081000006117,Atypical verrucal endocarditis
Other forms of heart disease,3400601000006117,SLE - Systemic lupus erythematosus
Other forms of heart disease,3377091000006119,Atypical verrucous endocarditis
Other forms of heart disease,92209015,Disseminated lupus erythematosus
Other forms of heart disease,496853017,Libman-Sacks disease
Other forms of heart disease,3377071000006115,Libman-Sacks endocarditis
Other forms of heart disease,92208011,Systemic lupus erythematosus
Other forms of heart disease,399141000006119,[X]Multiple valve disorders/diseases CE
Other forms of heart disease,694361000006112,"Multiple valve disease, unspecified"
Other forms of heart disease,694371000006117,Multiple valve diseases
Other forms of heart disease,300866012,[X]Other multiple valve diseases
Other forms of heart disease,300868013,"[X]Multiple valve disease, unspecified"
Other forms of heart disease,16911000006114,Other rheumatoid arthropathy + visceral/systemic involvement
Other forms of heart disease,162051000006115,Rheumatoid arthritis of distal radio-ulnar joint
Other forms of heart disease,162101000006115,Rheumatoid arthritis of lesser MTP joint
Other forms of heart disease,162111000006117,Rheumatoid arthritis of MCP joint
Other forms of heart disease,168761000006118,Rheumatoid arthritis of 1st MTP joint
Other forms of heart disease,379761000006111,"[X]Endocarditis,valve unspecified,in diseases CE"
Other forms of heart disease,4809221000006114,Rheumatoid arthritis of first metatarsophalangeal joint
Other forms of heart disease,4809181000006117,Rheumatoid arthritis of tibiofibular joint
Other forms of heart disease,4809101000006114,Rheumatoid arthritis of distal radioulnar joint
Other forms of heart disease,989311000006111,Rheum. arth. - hip joint
Other forms of heart disease,309789018,Rheumatoid arthritis of shoulder
Other forms of heart disease,309798015,Rheumatoid arthritis of hip
Other forms of heart disease,309800010,Rheumatoid arthritis of knee
Other forms of heart disease,162041000006117,Rheumatoid arthritis of DIP joint of finger
Other forms of heart disease,162131000006111,Rheumatoid arthritis of PIP joint of finger
Other forms of heart disease,162191000006110,Rheumatoid arthritis of tibio-fibular joint
Other forms of heart disease,309790010,Rheumatoid arthritis of sternoclavicular joint
Other forms of heart disease,309791014,Rheumatoid arthritis of acromioclavicular joint
Other forms of heart disease,309792019,Rheumatoid arthritis of elbow
Other forms of heart disease,309794018,Rheumatoid arthritis of wrist
Other forms of heart disease,309802019,Rheumatoid arthritis of ankle
Other forms of heart disease,309803012,Rheumatoid arthritis of subtalar joint
Other forms of heart disease,309804018,Rheumatoid arthritis of talonavicular joint
Other forms of heart disease,309816012,Flare of rheumatoid arthritis
Other forms of heart disease,989291000006112,Rheum. arth. - wrist joint
Other forms of heart disease,989301000006113,Rheum. arth. - hand joint
Other forms of heart disease,989321000006115,Rheum. arth. - knee joint
Other forms of heart disease,989331000006117,Rheum. arth. - ankle/foot
Other forms of heart disease,162141000006118,Rheumatoid arthritis of sacro-iliac joint
Other forms of heart disease,162231000006117,Rheumatoid arthropathy + visceral/systemic involvement NOS
Other forms of heart disease,424981000006114,[X]Rheumatoid arthritis+involvement/other organs or systems
Other forms of heart disease,300909015,[X]Myocarditis in other diseases classified elsewhere
Other forms of heart disease,300198015,Myocarditis NOS
Other forms of heart disease,3324761000006115,Myocardial inflammation
Other forms of heart disease,537931000006112,Cardiomyopathy in Chagas's disease
Other forms of heart disease,2754013,Chagas' disease with heart involvement
Other forms of heart disease,300912017,[X]Other cardiomyopathies
Other forms of heart disease,300032019,Other primary cardiomyopathies
Other forms of heart disease,300041012,Other primary cardiomyopathy NOS
Other forms of heart disease,6615901000006114,Congestive dilated cardiomyopathy
Other forms of heart disease,6615871000006114,CCM - Congestive cardiomyopathy
Other forms of heart disease,3896181000006113,Myocardiopathy
Other forms of heart disease,6615881000006112,COCM - Congestive cardiomyopathy
Other forms of heart disease,300062013,Cardiomyopathy NOS
Other forms of heart disease,300040013,Primary dilated cardiomyopathy
Other forms of heart disease,350413012,Congestive obstructive cardiomyopathy
Other forms of heart disease,419130013,Arrhythmogenic right ventricular cardiomyopathy
Other forms of heart disease,1778488011,Congestive cardiomyopathy
Other forms of heart disease,2674238014,Tachycardia-induced cardiomyopathy
Other forms of heart disease,1705371000000116,Tachycardiomyopathy
Other forms of heart disease,6615891000006110,DCM - Dilated cardiomyopathy
Other forms of heart disease,6615851000006116,Dilated cardiomyopathy
Other forms of heart disease,142397010,Cardiomyopathy
Other forms of heart disease,300910013,[X]Other hypertrophic cardiomyopathy
Other forms of heart disease,3229411000006118,Obstructive cardiomyopathy
Other forms of heart disease,4824861000006114,Subvalvular stenosis
Other forms of heart disease,3229421000006114,HOCM - Hypertrophic obstructive cardiomyopathy
Other forms of heart disease,4824871000006119,Subvalvar stenosis
Other forms of heart disease,75410014,Hypertrophic obstructive cardiomyopathy
Other forms of heart disease,313382012,Subaortic stenosis
Other forms of heart disease,5056831000006119,HCM - Hypertrophic cardiomyopathy
Other forms of heart disease,4777091000006118,Hypertrophic cardiomyopathy without obstruction
Other forms of heart disease,300038015,Hypertrophic non-obstructive cardiomyopathy
Other forms of heart disease,4777111000006110,HCM - Hypertrophic non-obstructive cardiomyopathy
Other forms of heart disease,1778232017,Endomyocardial fibrosis
Other forms of heart disease,6611091000006115,African endomyocardial fibrosis
Other forms of heart disease,6611101000006114,Obscure cardiomyopathy of Africa
Other forms of heart disease,395766015,Obscure African cardiomyopathy
Other forms of heart disease,6611081000006118,Restrictive cardiomyopathy with endomyocardial fibrosis
Other forms of heart disease,3564401000006116,Elastomyofibrosis
Other forms of heart disease,108752010,Endocardial fibroelastosis
Other forms of heart disease,3564411000006118,EFE - Endocardial fibroelastosis
Other forms of heart disease,300911012,[X]Other restrictive cardiomyopathy
Other forms of heart disease,6873351000006110,Constrictive cardiomyopathy
Other forms of heart disease,150511013,Constrictive cardiomyopathy
Other forms of heart disease,6873341000006113,Restrictive cardiomyopathy
Other forms of heart disease,3859111000006117,Dilated cardiomyopathy caused by alcohol
Other forms of heart disease,3859091000006113,Dilated cardiomyopathy secondary to alcohol
Other forms of heart disease,138527014,Alcoholic cardiomyopathy
Other forms of heart disease,4777661000006115,Atrophy of papillary muscle
Other forms of heart disease,370281000006118,[X]Cardiomyopathy in nutritional diseases CE
Other forms of heart disease,3075321000006112,Primary familial cardiomyopathy
Other forms of heart disease,7251481000006118,Takotsubo syndrome
Other forms of heart disease,370271000006116,[X]Cardiomyopathy in metabolic diseases CE
Other forms of heart disease,34556015,Secondary dilated cardiomyopathy
Other forms of heart disease,300042017,Nutritional and metabolic cardiomyopathies
Other forms of heart disease,300228015,Papillary muscle atrophy
Other forms of heart disease,300229011,Papillary muscle degeneration
Other forms of heart disease,2816932015,Takotsubo cardiomyopathy
Other forms of heart disease,59588016,Familial cardiomyopathy
Other forms of heart disease,395767012,Nutritional and metabolic cardiomyopathy NOS
Other forms of heart disease,2816931010,Stress cardiomyopathy
Other forms of heart disease,7251461000006110,Left ventricular ballooning syndrome
Other forms of heart disease,821721000006117,"Heredofamilial amyloidosis, unspecified"
Other forms of heart disease,29745012,Amyloidosis
Other forms of heart disease,293828012,[X]Other amyloidosis
Other forms of heart disease,293836015,"[X]Heredofamilial amyloidosis, unspecified"
Other forms of heart disease,293566016,Primary amyloidosis NEC
Other forms of heart disease,293570012,Other specified amyloidosis
Other forms of heart disease,293571011,Amyloidosis NOS
Other forms of heart disease,309673013,Gouty arthritis of unspecified site
Other forms of heart disease,309679012,Gouty arthritis of the lower leg
Other forms of heart disease,309682019,Gouty arthritis of other specified site
Other forms of heart disease,388241000006119,[X]Gouty arthrpathy due/enzym defects+oth inherit disordr CE
Other forms of heart disease,12184951000006114,Arthritis due to gout
Other forms of heart disease,309676017,Gouty arthritis of the forearm
Other forms of heart disease,80709010,Gouty arthritis
Other forms of heart disease,150085018,Gout
Other forms of heart disease,293411019,Other specified gouty manifestation NOS
Other forms of heart disease,293412014,Gout NOS
Other forms of heart disease,309683012,Gouty arthritis NOS
Other forms of heart disease,12204351000006112,Inflammatory disorder due to increased blood urate level
Other forms of heart disease,300068012,Atrioventricular block unspecified
Other forms of heart disease,300074012,Atrioventricular block NOS
Other forms of heart disease,300087018,Other heart block
Other forms of heart disease,300088011,Interventricular block NOS
Other forms of heart disease,300090012,Other heart block NOS
Other forms of heart disease,300099013,Other conduction disorders NOS
Other forms of heart disease,300921016,[X]Other specified conduction disorders
Other forms of heart disease,300922011,[X]Other and unspecified premature depolarization
Other forms of heart disease,5517141000006112,First degree heart block
Other forms of heart disease,5057391000006113,AV block
Other forms of heart disease,5057381000006110,AVB - Atrioventricular block
Other forms of heart disease,5057361000006117,HB - Heart block
Other forms of heart disease,5517151000006114,"Incomplete atrioventricular block, first degree"
Other forms of heart disease,300103015,Conduction disorders NOS
Other forms of heart disease,350471015,Heart block
Other forms of heart disease,405111010,First degree atrioventricular block
Other forms of heart disease,991651000006115,Cardiac dysrhythmias NOS
Other forms of heart disease,300917011,[X]Other and unspecified atrioventricular block
Other forms of heart disease,300096018,Other conduction disorders
Other forms of heart disease,300100017,Conduction disorders unspecified
Other forms of heart disease,300920015,[X]Other specified heart block
Other forms of heart disease,218471000000114,Conduction disorders of heart
Other forms of heart disease,223971000000115,Conduction disorders
Other forms of heart disease,1765931000006110,Electrocardiogram: Mobitz type 2 second degree AV block
Other forms of heart disease,2952421000006113,Second degree Mobitz type II incomplete atrioventricular block
Other forms of heart disease,2952411000006117,Mobitz type II incomplete atrioventricular block
Other forms of heart disease,4777311000006113,"Incomplete atrioventricular block, second degree"
Other forms of heart disease,7055211000006119,EKG: Mobitz type II atrioventricular block
Other forms of heart disease,3376171000006117,Wenckebach's incomplete AV block
Other forms of heart disease,7055201000006117,Electrocardiographic Mobitz type II atrioventricular block
Other forms of heart disease,47191011,Mobitz type II atrioventricular block
Other forms of heart disease,300073018,Second degree atrioventricular block
Other forms of heart disease,4777321000006117,Second degree heart block
Other forms of heart disease,7055191000006115,ECG: Mobitz type II atrioventricular block
Other forms of heart disease,3376151000006110,Mobitz type I incomplete atrioventricular block
Other forms of heart disease,2952431000006111,Mobitz type 2 second degree atrioventricular block
Other forms of heart disease,1231273012,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,699951000006113,Mobitz type I (Wenckebach) atrioventricular block
Other forms of heart disease,3376161000006112,Wenckebach's phenomenon
Other forms of heart disease,313400018,"Congenital heart block, unspecified"
Other forms of heart disease,2947481000006112,Third degree heart block
Other forms of heart disease,2947511000006116,High grade atrioventricular block
Other forms of heart disease,498091000006111,Atrioventricular dissociation
Other forms of heart disease,2947501000006119,CHB - Complete heart block
Other forms of heart disease,2947491000006110,Complete heart block
Other forms of heart disease,313403016,Congenital heart block NOS
Other forms of heart disease,46670010,Complete atrioventricular block
Other forms of heart disease,884341000006118,Complete atrioventric. block
Other forms of heart disease,46671014,Third degree atrioventricular block
Other forms of heart disease,4777291000006114,Partial heart block
Other forms of heart disease,4777271000006113,Incomplete atrioventricular block
Other forms of heart disease,4777281000006111,Incomplete heart block
Other forms of heart disease,300067019,Partial atrioventricular block
Other forms of heart disease,300078010,Left bundle branch hemiblock NOS
Other forms of heart disease,300080016,Other bundle branch block
Other forms of heart disease,300086010,Other bundle branch block NOS
Other forms of heart disease,1738971000006112,ECG: left anterior fascicular block
Other forms of heart disease,3108041000006110,Left anterior hemiblock
Other forms of heart disease,11929111000006118,Left anterior fascicular block on electrocardiogram
Other forms of heart disease,11823261000006116,Electrocardiogram: left anterior fascicular block
Other forms of heart disease,2601481000006113,Fascicular block
Other forms of heart disease,7303091000006112,Left anterior fascicular block on ECG (electrocardiogram)
Other forms of heart disease,3108031000006117,LAFB - Left anterior fascicular block
Other forms of heart disease,300918018,[X]Other and unspecified fascicular block
Other forms of heart disease,300081017,Bundle branch block unspecified
Other forms of heart disease,62986012,Left anterior fascicular block
Other forms of heart disease,105498014,Left bundle branch block
Other forms of heart disease,1738991000006113,ECG: right bundle branch and left anterior fascicular block
Other forms of heart disease,3532231000006113,LBBB - Left bundle branch block
Other forms of heart disease,2601471000006110,BBB - Bundle branch block
Other forms of heart disease,7305361000006115,Right bundle branch block and left anterior fascicular block on ECG (electrocardiogram)
Other forms of heart disease,1739001000006113,ECG: right bundle branch and left posterior fascicular block
Other forms of heart disease,11929121000006114,Left posterior fascicular block on electrocardiogram
Other forms of heart disease,7307401000006115,Right bundle branch block and left posterior fascicular block on ECG (electrocardiogram)
Other forms of heart disease,103118017,Left posterior fascicular block
Other forms of heart disease,7304581000006118,Left posterior fascicular block on ECG (electrocardiogram)
Other forms of heart disease,11878641000006112,Electrocardiogram: left posterior fascicular block
Other forms of heart disease,1738981000006110,ECG: left posterior fascicular block
Other forms of heart disease,9313016,Left bundle branch hemiblock
Other forms of heart disease,300079019,Left main stem bundle branch block
Other forms of heart disease,2576982014,Atrioventricular conduction disorder
Other forms of heart disease,300919014,[X]Other and unspecified right bundle-branch block
Other forms of heart disease,163011000006112,Right fascicular block
Other forms of heart disease,3179871000006110,Bradycardia - pulse
Other forms of heart disease,3460401000006115,RBBB - Right bundle branch block
Other forms of heart disease,1231921018,Right fascicular block
Other forms of heart disease,371119011,Pulse missed beats
Other forms of heart disease,493226017,Pulse slow
Other forms of heart disease,371120017,Skipped beat
Other forms of heart disease,98239015,Right bundle branch block
Other forms of heart disease,162981000006110,Right BBB with left anterior fascicular block
Other forms of heart disease,162991000006113,Right BBB with left posterior fascicular block
Other forms of heart disease,2994281000006112,Right bundle branch block AND left anterior fascicular block
Other forms of heart disease,3248391000006112,RBBB - Right bundle branch block with left posterior fascicular block
Other forms of heart disease,3248381000006114,Right bundle branch block AND left posterior fascicular block
Other forms of heart disease,7308811000006118,Bifascicular block on ECG (electrocardiogram)
Other forms of heart disease,2994291000006110,RBBB - Right bundle branch block with left anterior fascicular block
Other forms of heart disease,122915018,Bifascicular block
Other forms of heart disease,1738961000006117,ECG: bifascicular block
Other forms of heart disease,1738951000006119,ECG: trifascicular block
Other forms of heart disease,7306091000006118,Trifascicular block on ECG (electrocardiogram)
Other forms of heart disease,3898231000006119,Multifascicular block
Other forms of heart disease,142607010,Trifascicular block
Other forms of heart disease,300084013,Other bilateral bundle branch block
Other forms of heart disease,3569591000006114,Sinoauricular block
Other forms of heart disease,3569601000006118,Sinoatrial exit block
Other forms of heart disease,7385201000006110,Atrial arrest
Other forms of heart disease,109275012,Sinoatrial block
Other forms of heart disease,2920703018,Atrial standstill
Other forms of heart disease,477949015,Pre-excitation atrioventricular conduction
Other forms of heart disease,2766641000006117,Accessory atrioventricular conduction
Other forms of heart disease,3400791000006117,Lown Ganong Levine syndrome
Other forms of heart disease,3400781000006115,"Syndrome of short P-R interval, normal QRS complexes AND supraventricular tachycardias"
Other forms of heart disease,2766631000006110,Pre-excitation atrioventricular conduction
Other forms of heart disease,3709241000006119,Wolff Parkinson White syndrome
Other forms of heart disease,12171161000006118,Preexcitation syndrome
Other forms of heart disease,3709211000006119,Ventricular pre-excitation with arrhythmia
Other forms of heart disease,3709191000006119,Wolff-Parkinson-White pattern
Other forms of heart disease,3709221000006113,WPW - Wolff-Parkinson-White pattern
Other forms of heart disease,3709231000006112,WPW - Wolff-Parkinson-White syndrome
Other forms of heart disease,28446019,Accelerated atrioventricular conduction
Other forms of heart disease,30181017,Anomalous atrioventricular excitation
Other forms of heart disease,92224012,Lown-Ganong-Levine syndrome
Other forms of heart disease,123539010,Wolff-Parkinson-White syndrome
Other forms of heart disease,300094015,Ventricular pre-excitation
Other forms of heart disease,477950015,Accessory atrioventricular conduction
Other forms of heart disease,300095019,Anomalous atrioventricular excitation NOS
Other forms of heart disease,6386681000006111,Cardio-auditory syndrome
Other forms of heart disease,2831631000006110,Romano-Ward syndrome
Other forms of heart disease,1229296017,Jervell and Lange-Nielsen syndrome
Other forms of heart disease,164551000006117,Romano - Ward syndrome
Other forms of heart disease,78226012,Stokes-Adams syndrome
Other forms of heart disease,3258531000006116,Stokes-Adams-Morgagni syndrome
Other forms of heart disease,305600016,Cardiac arrest following abortive pregnancy
Other forms of heart disease,5061011000006116,Pulseless electrical activity
Other forms of heart disease,5061001000006119,EMD
Other forms of heart disease,7499311000006114,Induced termination of pregnancy complicated by cardiac arrest
Other forms of heart disease,5060991000006115,Cardiac arrest with electromechanical dissociation
Other forms of heart disease,6796911000006113,Cardiopulmonary arrest
Other forms of heart disease,453303015,"Cardiac arrest, unspecified"
Other forms of heart disease,6593491000006117,Cardiac standstill
Other forms of heart disease,350487017,Cardiac arrest with successful resuscitation
Other forms of heart disease,453302013,Electromechanical dissociation with successful resuscitation
Other forms of heart disease,1777430012,Asystole
Other forms of heart disease,2472090018,Cardiac arrest
Other forms of heart disease,317955011,[D]Cardiorespiratory failure
Other forms of heart disease,350843019,Electromechanical dissociation
Other forms of heart disease,6999341000006113,Cardiac arrest due to trauma
Other forms of heart disease,5061021000006112,PEA - Pulseless electrical activity
Other forms of heart disease,325057017,Cardiac arrest as a complication of care
Other forms of heart disease,218481000000111,Cardio-respiratory arrest
Other forms of heart disease,119261000006115,"Sudden cardiac death, so described"
Other forms of heart disease,4550731000006119,On examination - collapse -cardiac arrest
Other forms of heart disease,253605019,O/E - collapse -cardiac arrest
Other forms of heart disease,300126010,Paroxysmal tachycardia unspecified
Other forms of heart disease,395771010,Other cardiac dysrhythmias
Other forms of heart disease,1222503016,[D]Rapid heart beat
Other forms of heart disease,2553641000006118,Increased heart rate
Other forms of heart disease,7506451000006117,Arrhythmia
Other forms of heart disease,2691431000006114,PT - Paroxysmal tachycardia
Other forms of heart disease,20729015,Essential paroxysmal tachycardia
Other forms of heart disease,300924012,[X]Other specified cardiac arrhythmias
Other forms of heart disease,1230147016,Cardiac arrhythmias
Other forms of heart disease,20728011,Bouveret-Hoffmann syndrome
Other forms of heart disease,300129015,Paroxysmal tachycardia NOS
Other forms of heart disease,300168010,Re-entry ventricular arrhythmia
Other forms of heart disease,7506471000006110,Disorder of heart rhythm
Other forms of heart disease,300169019,Other cardiac dysrhythmia NOS
Other forms of heart disease,300170018,Cardiac dysrhythmia NOS
