Condition,MedCode,Term
Ischaemic heart diseases,271083016,Autograft replacement of three coronary arteries NEC
Ischaemic heart diseases,1780501013,Acute non-ST segment elevation myocardial infarction
Ischaemic heart diseases,299711010,Lateral myocardial infarction NOS
Ischaemic heart diseases,1235655012,Mural thrombosis
Ischaemic heart diseases,271107016,Revision of bypass for two coronary arteries
Ischaemic heart diseases,299714019,Inferior myocardial infarction NOS
Ischaemic heart diseases,271162013,Endarterectomy of coronary artery NEC
Ischaemic heart diseases,216351000006118,Post infarction pericarditis
Ischaemic heart diseases,299796018,Ischaemic cardiomyopathy
Ischaemic heart diseases,635061000006116,ECG: Q wave pathological
Ischaemic heart diseases,4031011,Old myocardial infarction
Ischaemic heart diseases,299811016,Subsequent myocardial infarction of anterior wall
Ischaemic heart diseases,271084010,Autograft replacement of four of more coronary arteries NEC
Ischaemic heart diseases,272107018,Percutaneous transluminal angioplasty of artery NEC
Ischaemic heart diseases,4032016,Healed myocardial infarction
Ischaemic heart diseases,324808010,Mechanical complication of coronary bypass
Ischaemic heart diseases,634751000006116,ECG: myocardial ischaemia
Ischaemic heart diseases,1489353017,Cardiac rehabilitation - phase 3
Ischaemic heart diseases,1489351015,Cardiac rehabilitation - phase 1
Ischaemic heart diseases,299782012,Single coronary vessel disease
Ischaemic heart diseases,1564021000000118,Coronary angiography planned
Ischaemic heart diseases,595731000006114,Coronary atherosclerosis
Ischaemic heart diseases,271097012,Prosthetic bypass of coronary artery
Ischaemic heart diseases,271094017,Allograft replacement of four or more coronary arteries
Ischaemic heart diseases,1484833014,Coronary heart disease review
Ischaemic heart diseases,635021000006110,ECG: Q wave
Ischaemic heart diseases,350346019,Triple vessel disease of the heart
Ischaemic heart diseases,272295013,Peroperative angioplasty
Ischaemic heart diseases,299812011,Subsequent myocardial infarction of inferior wall
Ischaemic heart diseases,498328016,Angina at rest
Ischaemic heart diseases,411159010,LIMA single anastomosis
Ischaemic heart diseases,238621000006112,Percut translum thrombolysis femoral graft streptokinase
Ischaemic heart diseases,271074014,Saphenous vein graft replacement of two coronary arteries
Ischaemic heart diseases,238651000006115,Percut transluminal coronary thrombolysis with streptokinase
Ischaemic heart diseases,2619484018,MI - Myocardial infarction aborted
Ischaemic heart diseases,585631000000113,Admit ischaemic heart disease emergency
Ischaemic heart diseases,271166011,Replacement of coronary arteries using multiple methods
Ischaemic heart diseases,460925019,[V]Cardiac rehabilitation
Ischaemic heart diseases,456363010,Percutaneous transluminal angioplasty of vascular graft
Ischaemic heart diseases,238821000006111,Percutaneous balloon coronary angioplasty
Ischaemic heart diseases,264495014,Angina control - improving
Ischaemic heart diseases,1785743019,Rotary blade coronary angioplasty
Ischaemic heart diseases,358041000000114,Percutaneous transluminal venous thrombolysis NEC
Ischaemic heart diseases,447324018,Acute Q-wave infarct
Ischaemic heart diseases,272117011,Rotary blade angioplasty
Ischaemic heart diseases,271132019,Single anastomosis of thoracic artery to coronary artery NEC
Ischaemic heart diseases,1738171000006114,History of myocardial infarction
Ischaemic heart diseases,537341000006118,Cardiac diseases
Ischaemic heart diseases,271169016,Other bypass of coronary artery
Ischaemic heart diseases,2536354015,Insertion of coronary artery stent
Ischaemic heart diseases,271082014,Autograft replacement of two coronary arteries NEC
Ischaemic heart diseases,118831000006118,Subsequent myocardial infarction of unspecified site
Ischaemic heart diseases,258969014,Cardiac enzymes abnormal - first set
Ischaemic heart diseases,271089017,Allograft replacement of one coronary artery
Ischaemic heart diseases,59952018,Nocturnal angina
Ischaemic heart diseases,108561012,Aneurysm of heart
Ischaemic heart diseases,208365015,Postoperative myocardial infarction
Ischaemic heart diseases,144819018,Variant angina pectoris
Ischaemic heart diseases,299813018,Subsequent myocardial infarction of other sites
Ischaemic heart diseases,1752201000000116,Frequency of angina
Ischaemic heart diseases,1547661000006114,Perc translum balloon angioplasty insert 1-2 stents cor art
Ischaemic heart diseases,264500012,CHD monitoring
Ischaemic heart diseases,977801000006117,JBS cardiovascular disease risk >30% over next 10 years
Ischaemic heart diseases,271093011,Allograft replacement of three coronary arteries
Ischaemic heart diseases,2675878019,Percutaneous transluminal thrombolysis of artery
Ischaemic heart diseases,271087015,Allograft bypass of coronary artery
Ischaemic heart diseases,256452010,ECG: myocardial infarction
Ischaemic heart diseases,405092018,Single anastomosis of mammary artery to coronary artery NEC
Ischaemic heart diseases,411160017,RIMA single anastomosis
Ischaemic heart diseases,2474304012,Radionuclide heart study abnormal
