Condition,MedCode,Term
Spinal degenerative disease ,311160018,Cervical disc prolapse with myelopathy
Spinal degenerative disease ,311161019,Thoracic disc prolapse with myelopathy
Spinal degenerative disease ,311162014,Lumbar disc prolapse with myelopathy
Spinal degenerative disease ,311163016,Disc prolapse with radiculopathy
Spinal degenerative disease ,311164010,Cervical disc prolapse with radiculopathy
Spinal degenerative disease ,311167015,Thoracic disc prolapse with radiculopathy
Spinal degenerative disease ,311168013,Lumbar disc prolapse with radiculopathy
Spinal degenerative disease ,311170016,Lumbar disc prolapse with cauda equina compression
Spinal degenerative disease ,455431014,Prolapsed lumbar intervertebral disc with sciatica
Spinal degenerative disease ,311173019,Other and unspecified disc disorders
Spinal degenerative disease ,311174013,Other disc disorders of unspecified site
Spinal degenerative disease ,311175014,Other cervical disc disorders
Spinal degenerative disease ,311176010,Other thoracic disc disorders
Spinal degenerative disease ,311177018,Other lumbar disc disorders
Spinal degenerative disease ,311179015,Annular tear of cervical disc
Spinal degenerative disease ,311180017,Resorption of cervical disc
Spinal degenerative disease ,311181018,Calcification of cervical disc
Spinal degenerative disease ,311183015,Annular tear of thoracic disc
Spinal degenerative disease ,311185010,Calcification of thoracic disc
Spinal degenerative disease ,311187019,Annular tear of lumbar disc
Spinal degenerative disease ,311188012,Resorption of lumbar disc
Spinal degenerative disease ,311189016,Calcification of lumbar disc
Spinal degenerative disease ,311191012,Cervical disc disorder with radiculopathy
Spinal degenerative disease ,311192017,Disc disorders NOS
Spinal degenerative disease ,312620017,[X]Other cervical disc displacement
Spinal degenerative disease ,312621018,[X]Other cervical disc degeneration
Spinal degenerative disease ,312622013,[X]Other cervical disc disorders
Spinal degenerative disease ,395361000006115,[X]Lumbar+other intervertebral disc disordrs with myelopathy
Spinal degenerative disease ,395351000006117,[X]Lumbar+other intervertbrl disc disordrs with radiculopthy
Spinal degenerative disease ,312625010,[X]Other specified intervertebral disc displacement
Spinal degenerative disease ,312626011,[X]Other specified intervertebral disc degeneration
Spinal degenerative disease ,312627019,[X]Other specified intervertebral disc disorders
Spinal degenerative disease ,312631013,"[X]Cervical disc disorder, unspecified"
Spinal degenerative disease ,461573010,[Q] Central disc prolapse
Spinal degenerative disease ,461574016,[Q] Posterolateral disc prolapse
Spinal degenerative disease ,461575015,[Q] Sequestrated disc prolapse
