Condition,MedCode,Term
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",12719421000006116,Valvuloplasty of heart NEC
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",271036018,Annuloplasty of valve of heart NEC
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",818851000006118,Heart valve or adjacent structures operations OS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",495344012,Chronic peptic ulcer with haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",419024010,Blood in vomit - symptom
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",411734011,Melaena - O/E of faeces
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",271312012,Heart operations NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",5913016,Melaena
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",372431015,Blood in faeces symptom
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",486704010,Upper gastrointestinal haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2647548014,Blood in faeces
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",885981000006112,PU - chronic + haemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",15459010,Vomiting of blood
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",270966017,Tricuspid valvuloplasty NEC
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2709531000006117,PU - Peptic ulcer
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",6717741000006110,Passage of bloody stools
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",6717721000006115,Bright red blood in stool
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3102211000006119,Upper GI - gastrointestinal hemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",6426381000006119,TVP - Tricuspid valve plasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302569018,Unspecified peptic ulcer with perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302576011,Peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2153991014,Haematochezia
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",507679012,Haematemesis
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",271066013,Heart valve and adjacent structures operations NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",517931000006117,Blood in faeces
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3102171000006116,Upper GI hemorrhage
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",5576661000006114,Melaena on examination of faeces
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",271174012,Other parts of heart and pericardium operations
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",271309014,Other parts of heart and pericardium operations NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302565012,Unspecified peptic ulcer
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2545151000006112,Melena
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",5576641000006110,Melena - O/E of feces
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",885931000006111,Peptic ulcer NOS = PU
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2536641017,Tricuspid valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2709501000006113,Peptic ulcer disease
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",5576651000006112,Melena on examination of feces
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3555861000006110,Cardiac surgery procedure
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2639831000006117,Vomiting of blood
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2545191000006118,"Black, tarry stool"
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",353305011,Perforation of stomach
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",885991000006110,PU - chronic + perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",1824551000006119,Perforation of stomach
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",6875014,Chronic peptic ulcer with perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",270994013,Valvuloplasty of heart NEC
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3619901000006116,Transluminal cardiac valvoplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3619881000006119,Percutaneous valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3619911000006119,Percutaneous cardiac valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",394285014,Annuloplasty of tricuspid valve
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",270965018,Repositioning of tricuspid valve
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",498977018,Chronic peptic ulcer with haemorrhage AND perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",886001000006111,PU - chronic + h'ge + perf.
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",3496021000006116,Chronic peptic ulcer with hemorrhage AND perforation
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",2478805011,Percutaneous transluminal valvuloplasty
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302556017,Chronic peptic ulcer without mention of complication
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302563017,Chronic peptic ulcer unspecified
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",12729731000006116,Chronic peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",886011000006114,PU - chronic NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302564011,Chronic peptic ulcer NOS
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302562010,Chronic peptic ulcer with obstruction
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",206557013,Chronic peptic ulcer
"Gastro-oesophageal reflux, peptic ulcer disease, gastritis and duodeniti",302572013,Unspecified peptic ulcer with obstruction
