Condition,ReadCode,CleansedReadCode,Term
Diabetes,2BBT,2BBT.00,O/E - right eye proliferative diabetic retinopathy
Diabetes,2BBV,2BBV.00,O/E - left eye proliferative diabetic retinopathy
Diabetes,2BBW,2BBW.00,O/E - right eye diabetic maculopathy
Diabetes,2BBX,2BBX.00,O/E - left eye diabetic maculopathy
Diabetes,2BBk,2BBk.00,O/E - right eye stable treated prolif diabetic retinopathy
Diabetes,2BBl,2BBl.00,O/E - left eye stable treated prolif diabetic retinopathy
Diabetes,2G510,2G51000,Foot abnormality - diabetes related
Diabetes,2G5A,2G5A.00,O/E - Right diabetic foot at risk
Diabetes,2G5B,2G5B.00,O/E - Left diabetic foot at risk
Diabetes,2G5C,2G5C.00,Foot abnormality - diabetes related
Diabetes,2G5E,2G5E.00,O/E - Right diabetic foot at low risk
Diabetes,2G5F,2G5F.00,O/E - Right diabetic foot at moderate risk
Diabetes,2G5G,2G5G.00,O/E - Right diabetic foot at high risk
Diabetes,2G5H,2G5H.00,O/E - Right diabetic foot - ulcerated
Diabetes,2G5I,2G5I.00,O/E - Left diabetic foot at low risk
Diabetes,2G5J,2G5J.00,O/E - Left diabetic foot at moderate risk
Diabetes,2G5K,2G5K.00,O/E - Left diabetic foot at high risk
Diabetes,2G5L,2G5L.00,O/E - Left diabetic foot - ulcerated
Diabetes,2G5V,2G5V.00,O/E - right chronic diabetic foot ulcer
Diabetes,2G5W,2G5W.00,O/E - left chronic diabetic foot ulcer
Diabetes,66A3,66A3.00,Diabetic on diet only
Diabetes,66A4,66A4.00,Diabetic on oral treatment
Diabetes,66A5,66A5.00,Diabetic on insulin
Diabetes,66A8,66A8.00,Has seen dietician - diabetes
Diabetes,66A9,66A9.00,Understands diet - diabetes
Diabetes,66AD,66AD.00,Fundoscopy - diabetic check
Diabetes,66AG,66AG.00,Diabetic drug side effects
Diabetes,66AH,66AH.00,Diabetic treatment changed
Diabetes,66AJ-1,66AJ.11,Unstable diabetes
Diabetes,66AJ1,66AJ100,Brittle diabetes
Diabetes,66AK,66AK.00,Diabetic - cooperative patient
Diabetes,66AL,66AL.00,Diabetic-uncooperative patient
Diabetes,66AN,66AN.00,Date diabetic treatment start
Diabetes,66AO,66AO.00,Date diabetic treatment stopp.
Diabetes,66AU,66AU.00,Diabetes care by hospital only
Diabetes,66AV,66AV.00,Diabetic on insulin and oral treatment
Diabetes,66AX,66AX.00,Diabetes: shared care in pregnancy - diabetol and obstet
Diabetes,66AY,66AY.00,Diabetic diet - good compliance
Diabetes,66Aa,66Aa.00,Diabetic diet - poor compliance
Diabetes,66Ab,66Ab.00,Diabetic foot examination
Diabetes,66Ag,66Ag.00,Insulin needles changed daily
Diabetes,66Ah,66Ah.00,Insulin needles changed for each injection
Diabetes,66Aj,66Aj.00,Insulin needles changed less than once a day
Diabetes,66Am,66Am.00,Insulin dose changed
Diabetes,66Ap,66Ap.00,Insulin treatment initiated
Diabetes,66Aq,66Aq.00,Diabetic foot screen
Diabetes,7276,7276.00,Pan retinal photocoagulation for diabetes
Diabetes,7L100,7L10000,Continuous subcutaneous infusion of insulin
Diabetes,7L198,7L19800,Subcutaneous injection of insulin
Diabetes,8A13,8A13.00,Diabetic stabilisation
Diabetes,8CA41,8CA4100,Pt advised re diabetic diet
Diabetes,8CP2,8CP2.00,Transition of diabetes care options discussed
Diabetes,8H7r,8H7r.00,Refer to diabetic foot screener
Diabetes,8HLE,8HLE.00,Diabetology D.V. done
